iter	Passed	Remaining
0	2	200
1	4	200
2	6	201
3	7	188
4	9	178
5	10	171
6	12	166
7	14	162
8	15	160
9	17	157
10	19	156
11	21	156
12	23	154
13	24	151
14	26	148
15	27	146
16	29	143
17	30	141
18	32	140
19	36	144
20	38	143
21	40	141
22	41	140
23	43	137
24	45	135
25	47	134
26	48	131
27	50	130
28	52	128
29	54	126
30	55	123
31	57	121
32	58	119
33	60	117
34	62	115
35	64	114
36	66	112
37	67	110
38	69	108
39	70	106
40	72	104
41	74	102
42	75	100
43	76	97
44	78	95
45	80	94
46	81	92
47	83	90
48	84	88
49	86	86
50	88	84
51	90	83
52	92	81
53	94	80
54	96	79
55	98	77
56	100	76
57	103	74
58	105	72
59	106	71
60	108	69
61	110	67
62	112	65
63	113	64
64	115	62
65	117	60
66	118	58
67	120	56
68	121	54
69	123	52
70	125	51
71	127	49
72	128	47
73	130	45
74	132	44
75	133	42
76	135	40
77	136	38
78	137	36
79	139	34
80	141	33
81	142	31
82	144	29
83	146	27
84	147	26
85	149	24
86	151	22
87	152	20
88	154	19
89	156	17
90	157	15
91	159	13
92	161	12
93	163	10
94	165	8
95	168	7
96	170	5
97	172	3
98	174	1
99	176	0
