iter	Passed	Remaining
0	161	161309
1	166	83237
2	170	56599
3	172	42979
4	174	34702
5	176	29192
6	177	25220
7	179	22295
8	181	19989
9	183	18155
10	186	16733
11	188	15506
12	190	14440
13	191	13515
14	193	12720
15	195	12018
16	197	11409
17	198	10855
18	202	10440
19	204	10014
20	206	9607
21	207	9244
22	210	8931
23	212	8626
24	213	8341
25	216	8127
26	218	7883
27	220	7661
28	222	7454
29	224	7264
30	226	7082
31	228	6909
32	232	6810
33	234	6666
34	236	6512
35	238	6380
36	240	6249
37	242	6126
38	243	6002
39	245	5891
40	248	5801
41	250	5707
42	252	5614
43	254	5520
44	257	5460
45	258	5369
46	261	5301
47	264	5245
48	266	5171
49	268	5093
50	270	5024
51	271	4952
52	273	4884
53	275	4821
54	277	4773
55	279	4715
56	281	4658
57	283	4600
58	285	4547
59	286	4490
60	288	4437
61	290	4388
62	292	4355
63	295	4314
64	296	4269
65	298	4223
66	300	4180
67	301	4135
68	303	4093
69	305	4054
70	307	4020
71	309	3985
72	311	3953
73	313	3919
74	314	3884
75	316	3849
76	318	3818
77	323	3818
78	325	3790
79	326	3757
80	328	3725
81	330	3695
82	330	3656
83	332	3627
84	334	3598
85	337	3586
86	339	3560
87	340	3533
88	342	3506
89	344	3479
90	345	3453
91	347	3429
92	349	3405
93	352	3396
94	354	3376
95	356	3353
96	357	3330
97	359	3307
98	360	3285
99	362	3264
100	364	3242
101	367	3234
102	369	3216
103	371	3197
104	372	3176
105	374	3156
106	375	3136
107	377	3117
108	379	3098
109	384	3109
110	386	3093
111	388	3078
112	390	3063
113	392	3049
114	394	3033
115	397	3028
116	398	3010
117	400	2996
118	402	2981
119	404	2966
120	406	2950
121	407	2934
122	413	2949
123	416	2941
124	418	2929
125	420	2918
126	422	2905
127	428	2915
128	430	2909
129	433	2898
130	435	2887
131	439	2890
132	444	2899
133	447	2890
134	450	2888
135	453	2881
136	455	2870
137	458	2865
138	461	2858
139	463	2850
140	468	2852
141	474	2866
142	477	2859
143	479	2850
144	481	2841
145	484	2831
146	491	2854
147	494	2844
148	496	2836
149	498	2826
150	500	2815
151	507	2832
152	511	2831
153	513	2820
154	515	2810
155	517	2799
156	520	2794
157	527	2808
158	529	2800
159	531	2791
160	533	2781
161	540	2796
162	543	2791
163	547	2790
164	553	2799
165	555	2790
166	557	2781
167	559	2771
168	561	2762
169	568	2776
170	570	2768
171	572	2758
172	574	2748
173	577	2739
174	588	2775
175	591	2768
176	593	2761
177	598	2764
178	601	2758
179	604	2752
180	606	2744
181	610	2743
182	612	2735
183	616	2732
184	618	2725
185	620	2716
186	626	2722
187	628	2715
188	630	2706
189	632	2697
190	635	2690
191	637	2684
192	640	2678
193	642	2670
194	644	2661
195	646	2651
196	648	2642
197	649	2632
198	651	2622
199	653	2613
200	656	2609
201	658	2601
202	660	2592
203	662	2583
204	663	2574
205	665	2565
206	667	2555
207	670	2551
208	672	2544
209	673	2535
210	675	2525
211	677	2517
212	678	2508
213	680	2499
214	682	2490
215	685	2487
216	687	2480
217	688	2470
218	690	2462
219	692	2454
220	693	2446
221	695	2437
222	697	2429
223	700	2427
224	702	2420
225	704	2412
226	706	2404
227	707	2396
228	709	2388
229	711	2380
230	713	2373
231	715	2367
232	717	2360
233	719	2354
234	721	2347
235	722	2340
236	724	2333
237	726	2326
238	730	2325
239	732	2319
240	734	2312
241	735	2304
242	737	2297
243	739	2289
244	740	2283
245	742	2276
246	745	2271
247	747	2265
248	748	2258
249	750	2251
250	751	2243
251	753	2236
252	755	2230
253	757	2223
254	759	2218
255	761	2213
256	763	2207
257	765	2200
258	766	2193
259	768	2186
260	771	2183
261	775	2183
262	778	2181
263	780	2174
264	781	2167
265	783	2161
266	785	2155
267	786	2149
268	789	2146
269	792	2141
270	793	2135
271	795	2128
272	796	2122
273	798	2116
274	800	2110
275	801	2103
276	804	2098
277	806	2093
278	808	2088
279	809	2082
280	811	2077
281	814	2072
282	815	2066
283	817	2062
284	821	2061
285	823	2055
286	825	2049
287	827	2044
288	829	2040
289	831	2034
290	832	2028
291	835	2025
292	837	2021
293	839	2015
294	841	2010
295	842	2004
296	844	1998
297	846	1993
298	847	1987
299	850	1984
300	852	1980
301	854	1975
302	856	1970
303	858	1964
304	859	1959
305	861	1953
306	863	1948
307	865	1945
308	867	1941
309	870	1936
310	871	1931
311	873	1926
312	875	1920
313	876	1915
314	879	1911
315	882	1909
316	883	1904
317	885	1899
318	887	1894
319	888	1889
320	890	1883
321	892	1878
322	895	1876
323	897	1871
324	899	1867
325	901	1863
326	903	1859
327	905	1854
328	907	1849
329	913	1853
330	914	1848
331	916	1843
332	917	1838
333	919	1833
334	921	1829
335	923	1824
336	926	1822
337	928	1818
338	930	1813
339	931	1808
340	933	1803
341	934	1798
342	936	1794
343	938	1789
344	942	1789
345	944	1785
346	946	1781
347	948	1777
348	951	1774
349	953	1770
350	956	1768
351	958	1765
352	962	1763
353	963	1759
354	965	1754
355	970	1755
356	972	1750
357	974	1746
358	977	1744
359	979	1741
360	983	1740
361	985	1737
362	987	1732
363	989	1728
364	991	1724
365	992	1719
366	994	1715
367	996	1711
368	999	1708
369	1000	1704
370	1002	1699
371	1004	1695
372	1006	1691
373	1008	1687
374	1009	1683
375	1013	1681
376	1015	1678
